Zaman(s)  	Ucus_Modu      	Gercek_Z  	Filtreli_Z  	Roll_PWM  	Pitch_PWM 	Throt_PWM 	Voltaj(V) 
---------------------------------------------------------------------------------------------------------
1.00      	KALKIS         	0.519     	0.466       	1490.9    	1501.5    	1360.1    	21.88     
2.01      	KALKIS         	1.042     	1.001       	1492.6    	1498.6    	1360.5    	21.88     
3.01      	KALKIS         	1.379     	1.361       	1504.7    	1494.3    	1363.7    	21.87     
4.02      	SEARCHING_X    	1.564     	1.554       	1490.7    	1475.0    	1358.1    	21.88     
5.02      	SEARCHING_X    	1.650     	1.642       	1495.3    	1494.1    	1363.4    	21.87     
6.03      	SEARCHING_X    	1.677     	1.675       	1501.8    	1493.5    	1362.7    	21.87     
7.04      	SEARCHING_X    	1.674     	1.678       	1491.3    	1493.0    	1369.2    	21.86     
8.04      	SEARCHING_X    	1.662     	1.663       	1499.1    	1492.4    	1368.3    	21.86     
9.04      	SEARCHING_X    	1.651     	1.655       	1497.9    	1491.9    	1363.8    	21.87     
10.05     	SEARCHING_X    	1.641     	1.642       	1499.5    	1491.3    	1360.7    	21.87     
11.05     	SEARCHING_Y    	1.637     	1.636       	1494.3    	1508.5    	1363.0    	21.87     
12.06     	SEARCHING_Y    	1.632     	1.632       	1493.8    	1525.0    	1367.4    	21.86     
13.06     	SEARCHING_Y    	1.629     	1.632       	1493.2    	1515.7    	1361.6    	21.87     
14.07     	SEARCHING_Y    	1.629     	1.628       	1492.7    	1507.8    	1368.7    	21.86     
15.07     	SEARCHING_Y    	1.629     	1.630       	1492.1    	1505.0    	1368.8    	21.86     
16.08     	SEARCHING_Y    	1.628     	1.634       	1491.6    	1494.1    	1366.2    	21.86     
17.09     	SEARCHING_Y    	1.628     	1.629       	1491.0    	1490.4    	1360.2    	21.88     
18.09     	PRECISION_LAND 	1.252     	1.311       	1523.7    	1497.0    	1348.1    	21.90     
19.09     	PRECISION_LAND 	0.470     	0.542       	1512.8    	1494.8    	1319.3    	21.95     
