Zaman(s)  	Ucus_Modu      	Gercek_X  	Gercek_Z  	Filtreli_Z  	Roll_PWM  	Pitch_PWM 	Throt_PWM 	Voltaj(V) 
-------------------------------------------------------------------------------------------------------------------
1.00      	KALKIS         	-0.002    	0.465     	0.417       	1499.4    	1500.4    	1362.7    	21.87     
2.01      	KALKIS         	-0.003    	0.927     	0.897       	1499.9    	1500.4    	1352.1    	21.89     
3.01      	KALKIS         	-0.003    	1.234     	1.213       	1499.3    	1514.9    	1367.6    	21.86     
4.02      	KALKIS         	-0.003    	1.429     	1.410       	1502.4    	1506.1    	1368.7    	21.86     
5.02      	ARAMA          	0.082     	1.540     	1.533       	1501.8    	1479.5    	1366.8    	21.86     
6.03      	ARAMA          	0.463     	1.595     	1.595       	1501.0    	1486.6    	1362.1    	21.87     
7.04      	ARAMA          	1.101     	1.613     	1.614       	1503.6    	1498.7    	1367.9    	21.86     
8.04      	ARAMA          	1.913     	1.608     	1.612       	1498.5    	1505.2    	1364.2    	21.87     
9.04      	ARAMA          	2.824     	1.593     	1.594       	1501.3    	1504.7    	1364.5    	21.87     
10.05     	HIZALANMA      	3.752     	1.572     	1.573       	1500.7    	1525.0    	1367.0    	21.86     
11.05     	INIŞ_ALGORITMASI	4.440     	1.214     	1.266       	1505.8    	1514.8    	1348.5    	21.90     
12.06     	INIŞ_ALGORITMASI	4.785     	0.485     	0.551       	1501.9    	1517.6    	1366.5    	21.86     
